pmid	old_title	new_title	old_doi	new_doi
26930205	Reconstructing Causal Biological Networks through Active Learning.	Reconstructing Causal Biological Networks through Active Learning.	10.1371/journal.pone.0150611	10.1371/journal.pone.0150611
34099048	Predicting anticancer hyperfoods with graph convolutional networks.	Predicting anticancer hyperfoods with graph convolutional networks.	10.1186/s40246-021-00333-4	10.1186/s40246-021-00333-4
26205532	Accurate contact predictions using covariation techniques and machine learning.	Accurate contact predictions using covariation techniques and machine learning.	10.1002/prot.24863	10.1002/prot.24863
31176619	Quantification of Uncertainty in Peptide-MHC Binding Prediction Improves High-Affinity Peptide Selection for Therapeutic Design.	Quantification of Uncertainty in Peptide-MHC Binding Prediction Improves High-Affinity Peptide Selection for Therapeutic Design.	10.1016/j.cels.2019.05.004	10.1016/j.cels.2019.05.004
37039115	Delineating Regions-of-interest for Mass Spectrometry Imaging by Multimodally Corroborated Spatial Segmentation	Delineating regions of interest for mass spectrometry imaging by multimodally corroborated spatial segmentation.	10.1093/gigascience/giad021	10.1093/gigascience/giad021
37983748	Variance Analysis of LC-MS Experimental Factors and Their Impact on Machine Learning	Variability analysis of LC-MS experimental factors and their impact on machine learning.	https://doi.org/10.1093/gigascience/giad096	10.1093/gigascience/giad096
37395630	Deep neural networks with knockoff features identify nonlinear causal relations and estimate effect sizes in complex biological systems.	Deep neural networks with knockoff features identify nonlinear causal relations and estimate effect sizes in complex biological systems.	https://doi.org/10.1101/2021.07.17.452800	10.1093/gigascience/giad044
38000911	Imputation Methods for Single-Cell RNA-seq Data Using Neural Topic Models	Imputation method for single-cell RNA-seq data using neural topic model.	10.1093/gigascience/giad098	10.1093/gigascience/giad098
39460934	Discovering genotype-phenotype relationships with machine learning and the Visual Physiology Opsin Database (VPOD)	Discovering genotype-phenotype relationships with machine learning and the Visual Physiology Opsin Database (VPOD).	10.1101/2024.02.12.579993	10.1093/gigascience/giae073
30109435	P2Rank: machine learning based tool for rapid and accurate prediction of ligand binding sites from protein structure	P2Rank: machine learning based tool for rapid and accurate prediction of ligand binding sites from protein structure.	10.1186/s13321-018-0285-8	10.1186/s13321-018-0285-8
39657103	Stratum corneum nanotexture feature detection using deep learning and spatial analysis: a non-invasive tool for skin barrier assessment	Stratum corneum nanotexture feature detection using deep learning and spatial analysis: a noninvasive tool for skin barrier assessment.	10.1093/gigascience/giae095	10.1093/gigascience/giae095
39931027	Opaque Ontology: Neuroimaging classification of ICD-10 Diagnostic Groups in the UK Biobank	Opaque ontology: neuroimaging classification of ICD-10 diagnostic groups in the UK Biobank.	https://doi.org/10.1093/gigascience/giae119	10.1093/gigascience/giae119
37489753	MuLan-Methyl—multiple transformer-based language models for accurate DNA methylation prediction	MuLan-Methyl-multiple transformer-based language models for accurate DNA methylation prediction.	https://doi.org/10.1093/gigascience/giad054	10.1093/gigascience/giad054
37602759	KGML-xDTD: a knowledge graph–based machine learning framework for drug treatment prediction and mechanism description 	KGML-xDTD: a knowledge graph-based machine learning framework for drug treatment prediction and mechanism description.	10.1093/gigascience/giad057	10.1093/gigascience/giad057
37776368	Confound-leakage: confound removal in machine learning leads to leakage	Confound-leakage: confound removal in machine learning leads to leakage.	10.1093/gigascience/giad071	10.1093/gigascience/giad071
37889008	SpheroScan: a user-friendly deep learning tool for spheroid image analysis	SpheroScan: a user-friendly deep learning tool for spheroid image analysis.	10.1093/gigascience/giad082	10.1093/gigascience/giad082
37882604	Machine learning–based feature selection to search stable microbial biomarkers: application to inflammatory bowel disease	Machine learning-based feature selection to search stable microbial biomarkers: application to inflammatory bowel disease.	10.1093/gigascience/giad083	10.1093/gigascience/giad083
37966428	Euler characteristic curves and profiles: a stable shape invariant for big data problems	Euler characteristic curves and profiles: a stable shape invariant for big data problems.	10.1093/gigascience/giad094	10.1093/gigascience/giad094
38091508	MLcps: machine learning cumulative performance score for classification problems	MLcps: machine learning cumulative performance score for classification problems.	10.1093/gigascience/giad108	10.1093/gigascience/giad108
38280188	MMV_Im2Im: An Open Source Microscopy Machine Vision Toolbox for Image-to-Image Transformation	MMV_Im2Im: an open-source microscopy machine vision toolbox for image-to-image transformation.	10.1093/gigascience/giad120	10.1093/gigascience/giad120
38206587	Machine Learning Made Easy (MLme): a comprehensive toolkit for machine learning–driven data analysis	Machine Learning Made Easy (MLme): a comprehensive toolkit for machine learning-driven data analysis.	10.1093/gigascience/giad111	10.1093/gigascience/giad111
38649301	Large-scale Genomic Survey with Deep Learning-based Method Reveals Strain-Level Phage Specificity Determinants	Large-scale genomic survey with deep learning-based method reveals strain-level phage specificity determinants.	10.1093/gigascience/giae017	10.1093/gigascience/giae017
39028588	spatiAlign: an unsupervised contrastive learning model for data integration of spatially resolved transcriptomics	spatiAlign: an unsupervised contrastive learning model for data integration of spatially resolved transcriptomics.	10.1093/gigascience/giae042	10.1093/gigascience/giae042
38991852	Omada: robust clustering of transcriptomes through multiple testing	Omada: robust clustering of transcriptomes through multiple testing.	10.1093/gigascience/giae039	10.1093/gigascience/giae039
39101782	MOBFinder: a tool for MOB typing for plasmid metagenomic fragments based on language model	MOBFinder: a tool for mobilization typing of plasmid metagenomic fragments based on a language model.	10.1093/gigascience/giae047	10.1093/gigascience/giae047
39388605	Deepdefense: annotation of immune systems in prokaryotes using deep learning 	Deepdefense: annotation of immune systems in prokaryotes using deep learning.	10.1093/gigascience/giae062	10.1093/gigascience/giae062
39185700	Deep learning links localized digital pathology phenotypes with transcriptional subtype and patient outcome in glioblastoma	Deep learning links localized digital pathology phenotypes with transcriptional subtype and patient outcome in glioblastoma.	https://doi.org/10.1093/gigascience/giae057	10.1093/gigascience/giae057
39804726	Unveiling Patterns in Spatial Transcriptomics Data: A Novel Approach Utilizing Graph Attention Autoencoder and Multi-Scale Deep Subspace Clustering Network	Unveiling patterns in spatial transcriptomics data: a novel approach utilizing graph attention autoencoder and multiscale deep subspace clustering network.	https://doi.org/10.1093/gigascience/giae103	10.1093/gigascience/giae103
39704702	PlasGO: enhancing GO-based function prediction for plasmid-encoded proteins based on genetic structure	PlasGO: enhancing GO-based function prediction for plasmid-encoded proteins based on genetic structure.	10.1093/gigascience/giae104	10.1093/gigascience/giae104
39704704	scGraph2Vec: a deep generative model for gene embedding augmented by Graph Neural Network and single-cell omics data	scGraph2Vec: a deep generative model for gene embedding augmented by graph neural network and single-cell omics data.	https://doi.org/10.1093/gigascience/giae108	10.1093/gigascience/giae108
39693632	A Data Set Profiling the Multi-omic Landscape of the Prefrontal Cortex in Amyotrophic Lateral Sclerosis	A dataset profiling the multiomic landscape of the prefrontal cortex in amyotrophic lateral sclerosis.	10.1093/gigascience/giae100	10.1093/gigascience/giae100
39657158	Learning A Generalized Graph Transformer for Protein Function Prediction in Dissimilar Sequences	Learning a generalized graph transformer for protein function prediction in dissimilar sequences.	10.1093/gigascience/giae093	10.1093/gigascience/giae093
40036690	TransHLA: A Hybrid Transformer Model for HLA-Presented Epitope Detection	TransHLA: a Hybrid Transformer model for HLA-presented epitope detection.	https://doi.org/10.1093/gigascience/giaf008	10.1093/gigascience/giaf008
40372723	HVSeeker: A Deep Learning-based Method for Identification of Host and Viral DNA sequences	HVSeeker: a deep-learning-based method for identification of host and viral DNA sequences.	https://doi.org/10.1093/gigascience/giaf037	10.1093/gigascience/giaf037
39937596	Unlocking the Power of AI for Phenotyping Fruit Morphology in Arabidopsis	Unlocking the power of AI for phenotyping fruit morphology in Arabidopsis.	https://doi.org/10.1093/gigascience/giae123	10.1093/gigascience/giae123
40331344	"Image segmentation of treated and untreated tumor spheroids by Fully Convolutional Networks
"	Image segmentation of treated and untreated tumor spheroids by fully convolutional networks.	https://doi.org/10.1093/gigascience/giaf027	10.1093/gigascience/giaf027
40072905	Cerebellocerebral Connectivity Predicts Body Mass Index: a New Open-Source Python-based Framework for Connectome-based Predictive Modeling	Cerebellocerebral connectivity predicts body mass index: a new open-source Python-based framework for connectome-based predictive modeling.	10.1093/gigascience/giaf010	10.1093/gigascience/giaf010
40117176	Healthy microbiome - moving towards functional interpretation	Healthy microbiome-moving towards functional interpretation.	10.1093/gigascience/giaf015	10.1093/gigascience/giaf015
40094553	NanoMnT: An STR Analysis Tool for Oxford Nanopore Sequencing Data Driven by a Comprehensive Analysis of Error Profile in STR regions	NanoMnT: an STR analysis tool for Oxford Nanopore sequencing data driven by a comprehensive analysis of error profile in STR regions.	https://doi.org/10.1093/gigascience/giaf013	10.1093/gigascience/giaf013
41128428	SurGen: 1020 H&E-stained Whole Slide Images With Survival and Genetic Markers	SurGen: 1020 H&amp;E-stained whole-slide images with survival and genetic markers.	https://doi.org/10.1093/gigascience/giaf086	10.1093/gigascience/giaf086
39970004	A Novel Dataset for Nuclei and Tissue Segmentation in Melanoma with baseline nuclei segmentation and tissue segmentation benchmarks	A novel dataset for nuclei and tissue segmentation in melanoma with baseline nuclei segmentation and tissue segmentation benchmarks.	https://doi.org/10.1093/gigascience/giaf011	10.1093/gigascience/giaf011
40008031	SqueezeCall: Nanopore basecalling using a Squeezeformer network	SqueezeCall: nanopore basecalling using a Squeezeformer network.	https://doi.org/10.46471/gigabyte.148	10.46471/gigabyte.148
40139909	High-fidelity Wheat Plant Reconstruction using 3D Gaussian Splatting and Neural Radiance Fields	High-fidelity wheat plant reconstruction using 3D Gaussian splatting and neural radiance fields.	10.1093/gigascience/giaf022	10.1093/gigascience/giaf022
40366867	External validation of machine learning models - registered models and adaptive sample splitting	External validation of machine learning models-registered models and adaptive sample splitting.	https://doi.org/10.1093/gigascience/giaf036	10.1093/gigascience/giaf036
40366868	Spatial Integration of Multi-Omics Data from Serial Sections using the novel Multi-Omics Imaging Integration Toolset	Spatial integration of multi-omics data from serial sections using the novel Multi-Omics Imaging Integration Toolset.	https://doi.org/10.1101/2024.06.11.598306	10.1093/gigascience/giaf035
40498535	The FIP 1.0 Data Set: Highly Resolved Annotated Image Time Series of 4,000 Wheat Plots Grown in Six Years	The FIP 1.0 Data Set: Highly resolved annotated image time series of 4,000 wheat plots grown in 6 years.	https://doi.org/10.1093/gigascience/giaf051	10.1093/gigascience/giaf051
41105015	Cross-modal contrastive learning decodes developmental regulatory features through chromatin potential analysis	Cross-modal contrastive learning decodes developmental regulatory features through chromatin potential analysis.	https://doi.org/10.1093/gigascience/giaf053	10.1093/gigascience/giaf053
40549543	CODARFE: Unlocking the prediction of continuous environmental variables based on microbiome	CODARFE: Unlocking the prediction of continuous environmental variables based on microbiome.	https://doi.org/10.1093/gigascience/giaf055	10.1093/gigascience/giaf055
40407124	A Case for Estradiol: Younger Brains in Women with Earlier Menarche and Later Menopause	A Case for estradiol: younger brains in women with earlier menarche and later menopause.	https://doi.org/10.1093/gigascience/giaf060	10.1093/gigascience/giaf060
40552981	CellBinDB: A Large-Scale Multimodal Annotated Dataset for Cell Segmentation with Benchmarking of Universal Models	CellBinDB: a large-scale multimodal annotated dataset for cell segmentation with benchmarking of universal models.	https://doi.org/10.1093/gigascience/giaf069	10.1093/gigascience/giaf069
40884801	Group-specific discriminant analysis enhances detection of sex differences in brain functional network lateralization	Group-specific discriminant analysis enhances detection of sex differences in brain functional network lateralization.	https://doi.org/10.1093/gigascience/giaf082	10.1093/gigascience/giaf082
41105014	PanGIA: A universal framework for identifying association between ncRNAs and diseases	PanGIA: A universal framework for identifying association between ncRNAs and diseases.	https://doi.org/10.1093/gigascience/giaf123	10.1093/gigascience/giaf123
41134033	EssSubgraph improves performance and generalizability of mammalian essential gene prediction with large networks	EssSubgraph improves performance and generalizability of mammalian essential gene prediction with large networks.	https://doi.org/10.1101/2025.07.21.665218	10.1093/gigascience/giaf136
31659164	A reference map of murine cardiac transcription factor chromatin occupancy identifies dynamic and conserved enhancers.	A reference map of murine cardiac transcription factor chromatin occupancy identifies dynamic and conserved enhancers.	10.1038/s41467-019-12812-3	10.1038/s41467-019-12812-3
39172545	VirHost: a machine learning-based method for predicting reservoir hosts of RNA viruses through viral genomes	RNAVirHost: a machine learning-based method for predicting hosts of RNA viruses through viral genomes.	10.1093/gigascience/giae059	10.1093/gigascience/giae059
28369334	NeBcon: Protein contact map prediction using neural network training coupled with naïve Bayes classifiers	NeBcon: protein contact map prediction using neural network training coupled with naïve Bayes classifiers.	10.1093/bioinformatics/btx164	10.1093/bioinformatics/btx164
17888165	Combining classifiers to predict gene function in Arabidopsis thaliana using large-scale gene expression measurements	Combining classifiers to predict gene function in Arabidopsis thaliana using large-scale gene expression measurements.	10.1186/1471-2105-8-358	10.1186/1471-2105-8-358
33225896	Mal-Prec: computational prediction of protein Malonylation sites via machine learning based feature integration	Mal-Prec: computational prediction of protein Malonylation sites via machine learning based feature integration : Malonylation site prediction.	10.1186/s12864-020-07166-w	10.1186/s12864-020-07166-w
18808707	Combining classifiers for improved classification of proteins from sequence or structure	Combining classifiers for improved classification of proteins from sequence or structure.	10.1186/1471-2105-9-389	10.1186/1471-2105-9-389
17570862	Learning biophysically-motivated parameters for alpha helix prediction	Learning biophysically-motivated parameters for alpha helix prediction.	10.1186/1471-2105-8-S5-S3	10.1186/1471-2105-8-s5-s3
19692556	TargetMiner: microRNA target prediction with systematic identification of tissue-specific negative examples	TargetMiner: microRNA target prediction with systematic identification of tissue-specific negative examples.	10.1093/bioinformatics/btp503	10.1093/bioinformatics/btp503
33532838	Generating property-matched decoy molecules using deep learning	Generating property-matched decoy molecules using deep learning.	10.1093/bioinformatics/btab080	10.1093/bioinformatics/btab080
29679026	Computational Protein Design with Deep Learning Neural Networks	Computational Protein Design with Deep Learning Neural Networks.	10.1038/s41598-018-24760-x	10.1038/s41598-018-24760-x
36414666	DeepPROTACs is a deep learning-based targeted degradation predictor for PROTACs	DeepPROTACs is a deep learning-based targeted degradation predictor for PROTACs.	10.1038/s41467-022-34807-3	10.1038/s41467-022-34807-3
30538725	Prediction of Drug-Likeness Using Deep Autoencoder Neural Networks	Prediction of Drug-Likeness Using Deep Autoencoder Neural Networks.	10.3389/fgene.2018.00585	10.3389/fgene.2018.00585
37996753	Accurate prediction of protein-nucleic acid complexes using RoseTTAFoldNA	Accurate prediction of protein-nucleic acid complexes using RoseTTAFoldNA.	10.1038/s41592-023-02086-5	10.1038/s41592-023-02086-5
38114456	Merizo: a rapid and accurate protein domain segmentation method using invariant point attention	Merizo: a rapid and accurate protein domain segmentation method using invariant point attention.	10.1038/s41467-023-43934-4	10.1038/s41467-023-43934-4
35489069	DeepLoc 2.0: multi-label subcellular localization prediction using protein language models	DeepLoc 2.0: multi-label subcellular localization prediction using protein language models.	10.1093/nar/gkac278	10.1093/nar/gkac278
36420989	DeepRank-GNN: a graph neural network framework to learn patterns in protein–protein interfaces	DeepRank-GNN: a graph neural network framework to learn patterns in protein-protein interfaces.	10.1093/bioinformatics/btac759	10.1093/bioinformatics/btac759
31877719	"Modeling Physico-Chemical ADMET Endpoints with Multitask Graph Convolutional Networks
"	Modeling Physico-Chemical ADMET Endpoints with Multitask Graph Convolutional Networks.	10.3390/molecules25010044	10.3390/molecules25010044
35896542	ProtGPT2 is a deep unsupervised language model for protein design	ProtGPT2 is a deep unsupervised language model for protein design.	10.1038/s41467-022-32007-7	10.1038/s41467-022-32007-7
33431047	A self-attention based message passing neural network for predicting molecular lipophilicity and aqueous solubility	A self-attention based message passing neural network for predicting molecular lipophilicity and aqueous solubility.	10.1186/s13321-020-0414-z	10.1186/s13321-020-0414-z
34706730	iTTCA-RF: a random forest predictor for tumor T cell antigens	iTTCA-RF: a random forest predictor for tumor T cell antigens.	10.1186/s12967-021-03084-x	10.1186/s12967-021-03084-x
33584803	Identification of Gene Signatures and Expression Patterns During Epithelial-to-Mesenchymal Transition From Single-Cell Expression Atlas	Identification of Gene Signatures and Expression Patterns During Epithelial-to-Mesenchymal Transition From Single-Cell Expression Atlas.	10.3389/fgene.2020.605012	10.3389/fgene.2020.605012
28527154	Structure based classification for bile salt export pump (BSEP) inhibitors using comparative structural modeling of human BSEP	Structure based classification for bile salt export pump (BSEP) inhibitors using comparative structural modeling of human BSEP.	10.1007/s10822-017-0021-x	10.1007/s10822-017-0021-x
27875980	Comparative genomics of European avian pathogenic E. Coli (APEC)	Comparative genomics of European avian pathogenic E. Coli (APEC).	10.1186/s12864-016-3289-7	10.1186/s12864-016-3289-7
31199787	Pathogenicity and functional impact of non-frameshifting insertion/deletion variation in the human genome	Pathogenicity and functional impact of non-frameshifting insertion/deletion variation in the human genome.	10.1371/journal.pcbi.1007112	10.1371/journal.pcbi.1007112
38015968	A machine learning-enabled open biodata resource inventory from the scientific literature	A machine learning-enabled open biodata resource inventory from the scientific literature.	10.1371/journal.pone.0294812	10.1371/journal.pone.0294812
37126495	ResMiCo: Increasing the quality of metagenome-assembled genomes with deep learning	ResMiCo: Increasing the quality of metagenome-assembled genomes with deep learning.	https://doi.org/10.1371/journal.pcbi.1011001	10.1371/journal.pcbi.1011001
37971967	FUN-PROSE: A deep learning approach to predict condition-specific gene expression in fungi	FUN-PROSE: A deep learning approach to predict condition-specific gene expression in fungi.	10.1371/journal.pcbi.1011563	10.1371/journal.pcbi.1011563
36525447	Classification of bacterial plasmid and chromosome derived sequences using machine learning	Classification of bacterial plasmid and chromosome derived sequences using machine learning.	10.1371/journal.pone.0279280	10.1371/journal.pone.0279280
24498380	Machine Learning Techniques Accurately Classify Microbial Communities by Bacterial Vaginosis Characteristics	Machine learning techniques accurately classify microbial communities by bacterial vaginosis characteristics.	10.1371/journal.pone.0087830	10.1371/journal.pone.0087830
29181236	Machine Learning to Improve the Effectiveness of ANRS in Predicting HIV Drug Resistance	Machine Learning to Improve the Effectiveness of ANRS in Predicting HIV Drug Resistance.	10.4258/hir.2017.23.4.271 	10.4258/hir.2017.23.4.271
34662334	Machine learning to predict the source of campylobacteriosis using whole genome data	Machine learning to predict the source of campylobacteriosis using whole genome data.	10.1371/journal.pgen.1009436	10.1371/journal.pgen.1009436
34104645	Identification of Diagnostic CpG Signatures in Patients with Gestational Diabetes Mellitus via Epigenome-Wide Association Study Integrated with Machine Learning	Identification of Diagnostic CpG Signatures in Patients with Gestational Diabetes Mellitus <i>via</i> Epigenome-Wide Association Study Integrated with Machine Learning.	10.1155/2021/1984690	10.1155/2021/1984690
38496213	Julearn: an easy-to-use library for leakage-free evaluation and inspection of ML models	Julearn: an easy-to-use library for leakage-free evaluation and inspection of ML models.	10.46471/gigabyte.113	10.46471/gigabyte.113
39320317	PhageGE: An interactive web-based R shiny application for exploratory analysis and visualisation of bacteriophage genomes	PhageGE: an interactive web platform for exploratory analysis and visualization of bacteriophage genomes.	10.1093/gigascience/giae074	10.1093/gigascience/giae074
